trial,block,category,Group_1,Group_2,Group_3,Group_4
1,1,1,1A1,1C1,1F1,1H1
2,1,2,2C1,2F1,2H1,2A1
3,1,3,3F1,3H1,3A1,3C1
4,1,4,4B1,4D1,4E1,4G1
5,1,5,5D1,5E1,5G1,5B1
6,1,6,6E1,6G1,6B1,6D1
7,1,7,7G1,7B1,7D1,7E1
8,1,8,8B1,8D1,8E1,8G1
9,1,9,9D1,9E1,9G1,9B1
10,2,1,1C2,1F2,1H2,1A2
11,2,2,2F2,2H2,2A2,2C2
12,2,3,3H2,3A2,3C2,3F2
13,2,4,4D2,4E2,4G2,4B2
14,2,5,5E2,5G2,5B2,5D2
15,2,6,6G2,6B2,6D2,6E2
16,2,7,7B1,7D1,7E1,7G1
17,2,8,8D2,8E2,8G2,8B2
18,2,9,9E2,9G2,9B2,9D2
19,3,1,1F3,1H3,1A3,1C3
20,3,2,2H1,2A1,2C1,2F1
21,3,3,3A1,3C1,3F1,3H1
22,3,4,4E1,4G1,4B1,4D1
23,3,5,5G1,5B1,5D1,5E1
24,3,6,6B3,6D3,6E3,6G3
25,3,7,7D1,7E1,7G1,7B1
26,3,8,8E1,8G1,8B1,8D1
27,3,9,9G1,9B1,9D1,9E1
28,4,1,1H4,1A4,1C4,1F4
29,4,2,2A2,2C2,2F2,2H2
30,4,3,3C2,3F2,3H2,3A2
31,4,4,4G2,4B2,4D2,4E2
32,4,5,5B2,5D2,5E2,5G2
33,4,6,6D4,6E4,6G4,6B4
34,4,7,7E1,7G1,7B1,7D1
35,4,8,8G2,8B2,8D2,8E2
36,4,9,9B2,9D2,9E2,9G2
