block,category,question_code
1,1,1A1
1,1,1C1
1,1,1F1
1,1,1H1
1,2,2A1
1,2,2C1
1,2,2F1
1,2,2H1
1,3,3A1
1,3,3C1
1,3,3F1
1,3,3H1
1,4,4B1
1,4,4D1
1,4,4E1
1,4,4G1
1,5,5B1
1,5,5D1
1,5,5E1
1,5,5G1
1,6,6B1
1,6,6D1
1,6,6E1
1,6,6G1
1,7,7B1
1,7,7D1
1,7,7E1
1,7,7G1
1,8,8B1
1,8,8D1
1,8,8E1
1,8,8G1
1,9,9B1
1,9,9D1
1,9,9E1
1,9,9G1
2,1,1A2
2,1,1C2
2,1,1F2
2,1,1H2
2,2,2A2
2,2,2C2
2,2,2F2
2,2,2H2
2,3,3A2
2,3,3C2
2,3,3F2
2,3,3H2
2,4,4B2
2,4,4D2
2,4,4E2
2,4,4G2
2,5,5B2
2,5,5D2
2,5,5E2
2,5,5G2
2,6,6B2
2,6,6D2
2,6,6E2
2,6,6G2
2,7,7B1
2,7,7D1
2,7,7E1
2,7,7G1
2,8,8B2
2,8,8D2
2,8,8E2
2,8,8G2
2,9,9B2
2,9,9D2
2,9,9E2
2,9,9G2
3,1,1A3
3,1,1C3
3,1,1F3
3,1,1H3
3,2,2A1
3,2,2C1
3,2,2F1
3,2,2H1
3,3,3A1
3,3,3C1
3,3,3F1
3,3,3H1
3,4,4B1
3,4,4D1
3,4,4E1
3,4,4G1
3,5,5B1
3,5,5D1
3,5,5E1
3,5,5G1
3,6,6B3
3,6,6D3
3,6,6E3
3,6,6G3
3,7,7B1
3,7,7D1
3,7,7E1
3,7,7G1
3,8,8B1
3,8,8D1
3,8,8E1
3,8,8G1
3,9,9B1
3,9,9D1
3,9,9E1
3,9,9G1
4,1,1A4
4,1,1C4
4,1,1F4
4,1,1H4
4,2,2A2
4,2,2C2
4,2,2F2
4,2,2H2
4,3,3A2
4,3,3C2
4,3,3F2
4,3,3H2
4,4,4B2
4,4,4D2
4,4,4E2
4,4,4G2
4,5,5B2
4,5,5D2
4,5,5E2
4,5,5G2
4,6,6B4
4,6,6D4
4,6,6E4
4,6,6G4
4,7,7B1
4,7,7D1
4,7,7E1
4,7,7G1
4,8,8B2
4,8,8D2
4,8,8E2
4,8,8G2
4,9,9B2
4,9,9D2
4,9,9E2
4,9,9G2
