base,dest,plausible,steps,base_is_boundary,dest_is_boundary,same_community,within_code,transition_tag,transition_tag_wx,base_community,dest_community
A,B,True,1.0,False,True,True,W,PNB1,PNB1W,0,0
A,C,True,1.0,False,False,True,W,PNB1,PNB1W,0,0
A,D,True,1.0,False,True,True,W,PNB1,PNB1W,0,0
A,E,False,2.0,False,True,False,X,INB2,INB2X,0,1
A,F,False,3.0,False,False,False,X,INB3,INB3X,0,1
A,G,False,2.0,False,True,False,X,INB2,INB2X,0,1
A,H,False,3.0,False,False,False,X,INB3,INB3X,0,1
B,A,True,1.0,True,False,True,W,PB1,PB1W,0,0
B,C,True,1.0,True,False,True,W,PB1,PB1W,0,0
B,D,False,2.0,True,True,True,W,IB2,IB2W,0,0
B,E,True,1.0,True,True,False,X,PB1,PB1X,0,1
B,F,False,2.0,True,False,False,X,IB2,IB2X,0,1
B,G,False,3.0,True,True,False,X,IB3,IB3X,0,1
B,H,False,2.0,True,False,False,X,IB2,IB2X,0,1
C,A,True,1.0,False,False,True,W,PNB1,PNB1W,0,0
C,B,True,1.0,False,True,True,W,PNB1,PNB1W,0,0
C,D,True,1.0,False,True,True,W,PNB1,PNB1W,0,0
C,E,False,2.0,False,True,False,X,INB2,INB2X,0,1
C,F,False,3.0,False,False,False,X,INB3,INB3X,0,1
C,G,False,2.0,False,True,False,X,INB2,INB2X,0,1
C,H,False,3.0,False,False,False,X,INB3,INB3X,0,1
D,A,True,1.0,True,False,True,W,PB1,PB1W,0,0
D,B,False,2.0,True,True,True,W,IB2,IB2W,0,0
D,C,True,1.0,True,False,True,W,PB1,PB1W,0,0
D,E,False,3.0,True,True,False,X,IB3,IB3X,0,1
D,F,False,2.0,True,False,False,X,IB2,IB2X,0,1
D,G,True,1.0,True,True,False,X,PB1,PB1X,0,1
D,H,False,2.0,True,False,False,X,IB2,IB2X,0,1
E,A,False,2.0,True,False,False,X,IB2,IB2X,1,0
E,B,True,1.0,True,True,False,X,PB1,PB1X,1,0
E,C,False,2.0,True,False,False,X,IB2,IB2X,1,0
E,D,False,3.0,True,True,False,X,IB3,IB3X,1,0
E,F,True,1.0,True,False,True,W,PB1,PB1W,1,1
E,G,False,2.0,True,True,True,W,IB2,IB2W,1,1
E,H,True,1.0,True,False,True,W,PB1,PB1W,1,1
F,A,False,3.0,False,False,False,X,INB3,INB3X,1,0
F,B,False,2.0,False,True,False,X,INB2,INB2X,1,0
F,C,False,3.0,False,False,False,X,INB3,INB3X,1,0
F,D,False,2.0,False,True,False,X,INB2,INB2X,1,0
F,E,True,1.0,False,True,True,W,PNB1,PNB1W,1,1
F,G,True,1.0,False,True,True,W,PNB1,PNB1W,1,1
F,H,True,1.0,False,False,True,W,PNB1,PNB1W,1,1
G,A,False,2.0,True,False,False,X,IB2,IB2X,1,0
G,B,False,3.0,True,True,False,X,IB3,IB3X,1,0
G,C,False,2.0,True,False,False,X,IB2,IB2X,1,0
G,D,True,1.0,True,True,False,X,PB1,PB1X,1,0
G,E,False,2.0,True,True,True,W,IB2,IB2W,1,1
G,F,True,1.0,True,False,True,W,PB1,PB1W,1,1
G,H,True,1.0,True,False,True,W,PB1,PB1W,1,1
H,A,False,3.0,False,False,False,X,INB3,INB3X,1,0
H,B,False,2.0,False,True,False,X,INB2,INB2X,1,0
H,C,False,3.0,False,False,False,X,INB3,INB3X,1,0
H,D,False,2.0,False,True,False,X,INB2,INB2X,1,0
H,E,True,1.0,False,True,True,W,PNB1,PNB1W,1,1
H,F,True,1.0,False,False,True,W,PNB1,PNB1W,1,1
H,G,True,1.0,False,True,True,W,PNB1,PNB1W,1,1
